"code";"description"
"A210";"Tularemia ulceroglandular"
"A211";"Tularemia oculoglandular"
"A212";"Tularemia pulmonar"
"A213";"Tularemia gastrointestinal"
"A217";"Tularemia generalizada"
"A218";"Otras formas de tularemia"
"A219";"Tularemia, no especificada"
"A22";"Carbunco [ Antrax ]"
"A220";"Carbunco cutaneo"
"A221";"Carbunco pulmonar"
"A222";"Carbunco gastrointestinal"
"A227";"Carbunco septico"
"A228";"Otras formas de carbunco"
"A229";"Carbunco, no especificado"
"A23";"Brucelosis"
"A230";"Brucelosis debida a Brucella melitensis"
"A231";"Brucelosis debida a Brucella abortus"
"A232";"Brucelosis debida a Brucella suis"
"A233";"Brucelosis debida a Brucella canis"
"A238";"Otras brucelosis"
"A239";"Brucelosis, no especificada"
"A24";"Muermo Y Melioidosis"
"A240";"Muermo"
"A241";"Melioidosis aguda y fulminante"
"A242";"Melioidosis subaguda y cronica"
"A243";"Otras melioidosis"
"A244";"Melioidosis, no especificada"
"A25";"Fiebres Por Mordedura De Rata"
"A250";"Espirilosis"
"A251";"Estreptobacilosis"
"A259";"Fiebre por mordedura de rata, no especificada"
"A26";"Erisipeloide"
"A260";"Erisipeloide cutaneo"
"A267";"Sepsis por Erysipelothrix"
"A268";"Otras formas de erisipeloide"
"A269";"Erisipeloide, no especificada"
"A27";"Leptospirosis"
"A270";"Leptospirosis icterohemorragica"
"A278";"Otras formas de leptospirosis"
"A279";"Leptospirosis, no especificada"
"A28";"Otras Enfermedades Zoonoticas Bacterianas No Clasificadas En Otra Parte"
"A280";"Pasteurelosis"
"A281";"Enfermedad por rasguno de gato"
"A282";"Yersiniosis extraintestinal"
"A288";"Otras enfermedades zoonoticas bacterianas especificadas, no clasificadas en otra parte"
"A289";"Enfermedad zoonotica bacteriana, sin otra especificacion"
"A30";"Lepra [ Enfermedad De Hansen ]"
"A300";"Lepra indeterminada"
"A301";"Lepra tuberculoide"
"A302";"Lepra tuberculoide limitrofe"
"A303";"Lepra limitrofe"
"A304";"Lepra lepromatosa limitrofe"
"A305";"Lepra lepromatosa"
"A308";"Otras formas de lepra"
"A309";"Lepra, no especificada"
"A31";"Infecciones Debidas A Otras Micobacterias"
"A310";"Infecciones por micobacterias pulmonares"
"A311";"Infeccion cutanea por micobacterias"
"A318";"Otras infecciones por micobacterias"
"A319";"Infeccion por micobacteria, no especificada"
"A32";"Listeriosis"
"A320";"Listeriosis cutanea"
"A321";"Meningitis y meningoencefalitis listeriana"
"A327";"Sepsis listeriana"
"A328";"Otras formas de listeriosis"
"A329";"Listeriosis, no especificada"
"A33";"Tetanos Neonatal"
"A33X";"Tetanos neonatal"
"A34";"Tetanos Obstetrico"
"A34X";"Tetanos obstetrico"
"A35";"Otros Tetanos"
"A35X";"Otros tetanos"
"A36";"Difteria"
"A360";"Difteria faringea"
"A361";"Difteria nasofaringea"
"A362";"Difteria laringea"
"A363";"Difteria cutanea"
"A368";"Otras difterias"
"A369";"Difteria, no especificada"
"A37";"Tos Ferina [ Tos Convulsiva ]"
"A370";"Tos ferina debida a Bordetella pertussis"
"A371";"Tos ferina debida a Bordetella parapertussis"
"A378";"Tos ferina debida a otras especies de Bordetella"
"A379";"Tos ferina, no especificada"
"A38";"Escarlatina"
"A38X";"Escarlatina"
"A39";"Enfermedad Meningococica"
"A390";"Meningitis meningococica"
"A391";"Sindrome de Waterhouse-Friderichsen"
"A392";"Meningococemia aguda"
"A393";"Meningococemia cronica"
"A394";"Meningococemia, no especificada"
"A395";"Enfermedad cardiaca debida a meningococo"
"A398";"Otras formas de enfermedad meningococica"
"A399";"Enfermedad meningococica, no especificada"
"A40";"Sepsis estreptocócica"
"A400";"Sepsis debida a estreptococo, grupo A"
"A401";"Sepsis debida a estreptococo, grupo B"
"A402";"Sepsis debida a estreptococo, grupo D"
"A403";"Sepsis debida a Streptococcus pneumoniae"
"A408";"Otras sepsis estreptococicas"
"A409";"Sepsis estreptococica, no especificada"
"A41";"Otras sepsis"
"A410";"Sepsis debida a Staphylococcus aureus"
"A411";"Sepsis debida a otro estafilococo especificado"
"A412";"Sepsis debida a estafilococo no especificado"
"A413";"Sepsis debida a Haemophilus influenzae"
"A414";"Sepsis debida a anaerobios"
"A415";"Sepsis debida a otros organismos gramnegativos"
"A418";"Otras sepsis especificadas"
"A419";"Sepsis, no especificada"
"A42";"Actinomicosis"
"A420";"Actinomicosis pulmonar"
"A421";"Actinomicosis abdominal"
"A422";"Actinomicosis cervicofacial"
"A427";"Sepsis actinomicotica"
"A428";"Otras formas de actinomicosis"
"A429";"Actinomicosis, sin otra especificacion"
"A43";"Nocardiosis"
"A430";"Nocardiosis pulmonar"
"A431";"Nocardiosis cutanea"
"A438";"Otras formas de nocardiosis"
"A439";"Nocardiosis, no especificada"
"A44";"Bartonelosis"
"A440";"Bartonelosis sistemica"
"A441";"Bartonelosis cutanea y mucocutanea"
"A448";"Otras formas de bartonelosis"
"A449";"Bartonelosis, no especificada"
"A46";"Erisipela"
"A46X";"Erisipela"
"A48";"Otras Enfermedades Bacterianas No Clasificadas En Otra Parte"
"A480";"Gangrena gaseosa"
"A481";"Enfermedad de los legionarios"
"A482";"Enfermedad de los legionarios no neumonica (fiebre de Pontiac)"
"A483";"Sindrome del choque toxico"
"A484";"Fiebre purpurica brasilena"
"A488";"Otras enfermedades bacterianas especificadas"
"A49";"Infeccion Bacteriana De Sitio No Especificado"
"A490";"Infeccion estafilococica, sitio no especificado "
"A491";"Infeccion estreptococica, sitio no especificado "
"A492";"Infeccion por Haemophilus influenzae, sitio no especificado"
"A493";"Infeccion por micoplasma, sitio no especificado"
"A498";"Otras infecciones bacterianas de sitio no especificado"
"A499";"Infeccion bacteriana, no especificada"
"A50";"Sifilis Congenita"
"A500";"Sifilis congenita precoz, sintomatica"
"A501";"Sifilis congenita precoz, latente"
"A502";"Sifilis congenita precoz, sin otra especificacion"
"A503";"Oculopatia sifilitica congenita tardia"
"A504";"Neurosifilis congenita tardia [neurosifilis juvenil]"
"A505";"Otras formas de sifilis congenita tardia, sintomatica"
"A506";"Sifilis congenita tardia, latente"
"A507";"Sifilis congenita tardia, sin otra especificacion"
"A509";"Sifilis congenita, sin otra especificacion"
"A51";"Sifilis Precoz"
"A510";"Sifilis genital primaria"
"A511";"Sifilis primaria anal"
"A512";"Sifilis primaria en otros sitios"
"A513";"Sifilis secundaria de piel y membranas mucosas"
"A514";"Otras sifilis secundarias"
"A515";"Sifilis precoz, latente"
"A519";"Sifilis precoz, sin otra especificacion"
"A52";"Sifilis Tardia"
"A520";"Sifilis cardiovascular"
"A521";"Neurosifilis sintomatica"
"A522";"Neurosifilis asintomatica"
"A523";"Neurosifilis no especificada"
"A527";"Otras sifilis tardias sintomaticas"
"A528";"Sifilis tardia, latente"
"A529";"Sifilis tardia, no especificada"
"A53";"Otras Sifilis Y Las No Especificadas"
"A530";"Sifilis latente, no especificada como precoz o tardia"
"A539";"Sifilis, no especificada"
"A54";"Infeccion Gonococica"
"A540";"Infeccion gonococica del tracto genitourinario inferior sin absceso periuretral y de glandula accesoria"
"A541";"Infeccion gonococica del tracto genitourinario inferior con absceso periuretral y de glandulas accesorias"
"A542";"Pelviperitonitis gonococica y otras infecciones gonococicas genitourinarias"
"A543";"Infeccion gonococica del ojo"
"A544";"Infeccion gonococica del sistema osteomuscular"
"A545";"Faringitis gonococica"
"A546";"Infeccion gonococica del ano y del recto"
"A548";"Otras infecciones gonococicas"
"A549";"Infeccion gonococica, no especificada"
"A55";"Linfogranuloma (Venereo) Por Clamidias"
"A55X";"Linfogranuloma (venereo) por clamidias"
"A56";"Otras Enfermedades De Transmision Sexual Debidadas A Clamidias"
"A560";"Infeccion del tracto genitourinario inferior debida a clamidias"
"A561";"Infeccion del pelviperitoneo y otros organos genitourinarios debida a clamidias"
"A562";"Infecciones del tracto genitourinario debidas a clamidias, sin otra especificacion"
"A563";"Infeccion del ano y del recto debida a clamidias"
"A564";"Infeccion de faringe debida a clamidias"
"A568";"Infeccion de transmision sexual de otros sitios debida a clamidias"
"A57";"Chancro Blando"
"A57X";"Chancro blando"
"A58";"Granuloma Inguinal"
"A58X";"Granuloma inguinal"
"A59";"Tricomoniasis"
"A590";"Tricomoniasis urogenital"
"A598";"Tricomoniasis de otros sitos"
"A599";"Tricomoniasis, no especificada"
"A60";"Infecion Anogenital Debida A Virus Del Herpes [Herpes Simple ]"
"A600";"Infeccion de genitales y trayecto urogenital debida a virus del herpes [herpes simple]"
"A601";"Infeccion de la piel perianal y recto por virus del herpes simple"
"A609";"Infeccion anogenital por virus del herpes simple, sin otra especificacion"
"A63";"Otras Enfermedades De Transmision Predominantemente Sexual, No Clasificadas En Otra Parte"
"A630";"Verrugas (venereas) anogenitales"
"A638";"Otras enfermedades de transmision predominantemente sexual, especificadas"
"A64";"Enfermedad De Transmision Sexual No Especificada"
"A64X";"Enfermedad de transmision sexual no especificada"
"A65";"Sifilis No Venerea"
"A65X";"Sifilis no venerea"
"A66";"Frambesia"
"A660";"Lesiones iniciales de frambesia"
"A661";"Lesiones papilomatosas multiples y frambesia con paso de cangrejo"
"A662";"Otras lesiones precoces de la piel en la frambesia"
"A663";"Hiperqueratosis de frambesia"
"A664";"Goma y ulceras de frambesia"
"A665";"Gangosa"
"A666";"Lesiones frambesicas de los huesos y de las articulaciones"
"A667";"Otras manifestaciones de frambesia"
"A668";"Frambesia latente"
"A669";"Frambesia, no especificada"
"A67";"Pinta [ Carate ]"
"A670";"Lesiones primarias de la pinta"
"A671";"Lesiones intermedias de la pinta"
"A672";"Lesiones tardias de la pinta"
"A673";"Lesiones mixtas de la pinta"
"A679";"Pinta, no especificada"
"A68";"Fiebres Recurrentes"
"A680";"Fiebre recurrente transmitida por piojos"
"A681";"Fiebre recurrente transmitida por garrapatas"
"A689";"Fiebre recurrente, no especificada"
"A69";"Otras Infecciones Causadas Por Espiroquetas"
"A690";"Estomatitis ulcerativa necrotizante"
"A691";"Otras infecciones de Vincent"
"A692";"Enfermedad de Lyme"
"A698";"Otras infecciones especificadas por espiroquetas"
"A699";"Infeccion por espiroqueta, no especificada"
"A70";"Infeccion Debida A Clamydia Psittaci"
"A70X";"Infeccion debida a Chlamydia psittaci"
"A71";"Tracoma"
"A710";"Estado inicial de tracoma"
"A711";"Estado activo de tracoma"
"A719";"Tracoma, no especificado"
"A74";"Otras Enfermedades Causadas Por Clamidias"
"A740";"Conjuntivitis por clamidias"
"A748";"Otras enfermedades por clamidias"
"A749";"Infeccion por clamidias, no especificada"
"A75";"Tifus"
"A750";"Tifus epidemico debido a Rickettsia prowazekii transmitido por piojos"
"A751";"Tifus recrudescente [enfermedad de Brill]"
"A752";"Tifus debido a Rickettsia typhi"
"A753";"Tifus debido a Rickettsia tsutsugamushi"
"A759";"Tifus, no especificado"
"A77";"Fiebre Maculosa [Rickettsiosis Transmitida Por Garrapatas]"
"A770";"Fiebre maculosa debida a Rickettsia rickettsii"
"A771";"Fiebre maculosa debida a Rickettsia conorii"
"A772";"Fiebre maculosa debida a Rickettsia siberica"
"A773";"Fiebre maculosa debida a Rickettsia australis"
"A778";"Otras fiebres maculosas"
"A779";"Fiebre maculosa, no especificada"
"A78";"Fiebre Q"
"A78X";"Fiebre Q"
"A79";"Otras Rickettsiosis"
"A790";"Fiebre de las trincheras"
"A791";"Rickettsiosis pustulosa debida a Rickettsia akari"
"A798";"Otras rickettsiosis especificadas"
"A799";"Rickettsiosis, no especificada"
"A80";"Poliomielitis Aguda"
"A800";"Poliomielitis aguda paralitica, asociada a vacuna"
"A801";"Poliomielitis aguda paralitica debida a virus salvaje importado"
"A802";"Poliomielitis aguda paralitica debida a virus salvaje autoctono"
"A803";"Otras poliomielitis agudas paraliticas y las no especificadas"
"A804";"Poliomielitis aguda no paralitica"
"A809";"Poliomielitis aguda, sin otra especificacion"
"A81";"Infecciones Del Sistema Nervioso Central Por Virus Atipico"
"A810";"Enfermedad de Creutzfeldt-Jakob"
"A811";"Panencefalitis esclerosante subaguda"
"A812";"Leucoencefalopatia multifocal progresiva"
"A818";"Otras infecciones del sistema nervioso central por virus atipico"
"A819";"Infecciones del sistema nervioso central por virus atipico, sin otra especificacion"
"A82";"Rabia"
"A820";"Rabia selvatica"
"A821";"Rabia urbana"
"A829";"Rabia, sin otra especificacion"
"A83";"Encefalitis Viral Transmitida Por Mosquitos"
"A830";"Encefalitis japonesa"
"A831";"Encefalitis equina del oeste"
"A832";"Encefalitis equina del este"
"A833";"Encefalitis de San Luis"
"A834";"Encefalitis australiana"
"A835";"Encefalitis de California"
"A836";"Enfermedad por virus Rocio"
"A838";"Otras encefalitis virales transmitidas por mosquitos"
"A839";"Encefalitis viral transmitida por mosquitos, sin otra especificacion"
"A84";"Encefalitis Viral Transmitida Por Garrapatas"
"A840";"Encefalitis del Lejano Oriente transmitida por garrapatas [encefalitis primaveroestival rusa]"
"A841";"Encefalitis centroeuropea transmitida por garrapatas"
"A848";"Otras encefalitis virales transmitida por garrapatas"
"A849";"Encefalitis viral transmitida por garrapatas, sin otra especificacion"
"A85";"Otras Encefalitis Virales, No Clasificadas En Otra Parte"
"A850";"Encefalitis enteroviral"
"A851";"Encefalitis por adenovirus"
"A852";"Encefalitis viral transmitida por artropodos, sin otra especifcacion"
"A858";"Otras encefalitis virales especifcadas"
"A86";"Encefalitis Viral, No Especificada"
"A86X";"Encefalitis viral, no especificada"
"A87";"Meningitis Viral"
"A870";"Meningitis enteroviral"
"A871";"Meningitis debida a adenovirus"
"A872";"Coriomeningitis linfocitica"
"A878";"Otras meningitis virales"
"A879";"Meningitis viral, sin otra especificacion"
"A88";"Otras Infecciones Virales Del Sistema Nervioso Central No Clasificadas En Otra Parte"
"A880";"Fiebre exantematica enteroviral [exantema de Boston]"
"A881";"Vertigo epidemico"
"A888";"Otras infecciones virales especificadas del sistema nervioso central"
"A89";"Infeccion Viral Del Sistema Nervioso Central, No Especificada"
"A89X";"Infeccion viral del sistema nervioso central, no especificada"
"A92";"Otras Fiebres Virales Transmitidas Por Mosquitos"
"A920";"Enfermedad por virus Chikungunya"
"A921";"Fiebre de O'nyong-nyong"
"A922";"Fiebre equina venezolana"
"A923";"Infeccion por virus del oeste del Nilo"
"A924";"Fiebre del valle del Rift"
"A925";"Enfermedad por virus Zika"
"A928";"Otras fiebres virales especificadas transmitidas por mosquitos"
"A929";"Fiebre viral transmitida por mosquito, sin otra especificacion"
"A93";"Otras Fiebre Virales Transmitidas Por Artropodos, No Clasificadas En Otra Parte"
"A930";"Enfermedad por virus de  Oropouche"
"A931";"Fiebre transmitida por flebotomos"
"A932";"Fiebre de Colorado transmitida por garrapatas"
"A938";"Otras fiebres virales especificadas transmitidas por artropodos"
"A94";"Fiebre Viral Transmitida Por Artropodos, No Especificada"
"A94X";"Fiebre viral transmitida por artropodos, no especificada"
"A95";"Fiebre Amarilla"
"A950";"Fiebre amarilla selvatica"
"A951";"Fiebre amarilla urbana"
"A959";"Fiebre amarilla, no especificada"
"A96";"Fiebre Hemorragica Por Arenavirus"
"A960";"Fiebre hemorragica de Junin"
"A961";"Fiebre hemorragica de Machupo"
"A962";"Fiebre de Lassa"
"A968";"Otras fiebres hemorragicas por arenavirus"
"A969";"Fiebre hemorragica por arenavirus, sin otra especificacion"
"A97";"Dengue"
"A970";"Dengue sin signos de alarma"
"A971";"Dengue con signos de alarma"
"A972";"Dengue severo"
"A979";"Dengue no especificado"
"A98";"Otras Fiebres Virales Hemorragicas, No Clasificadas En Otra Parte"
"A980";"Fiebre hemorragica de Crimea-Congo"
"A981";"Fiebre hemorragica de Omsk"
"A982";"Enfermedad de la selva Kyasanur"
"A983";"Enfermedad por el virus de Marburg"
"A984";"Enfermedad por el virus de Ebola"
"A985";"Fiebres hemorragicas con sindrome renal"
"A988";"Otras fiebres hemorragicas virales especificadas"
"A99";"Fiebre Viral Hemorragica, No Especificada"
"A99X";"Fiebre viral hemorragica, no especificada"
"B00";"Infecciones Herpeticas [ Herpes Simple ]"
"B000";"Eczema herpetico"
"B001";"Dermatitis vesicular herpetica"
"B002";"Gingivoestomatitis y faringoamigdalitis herpetica"
"B003";"Meningitis herpetica"
"B004";"Encefalitis herpetica"
"B005";"Oculopatia herpetica"
"B007";"Enfermedad herpetica diseminada"
"B008";"Otras formas de infecciones herpeticas"
"B009";"Infeccion debida al virus del herpes, no especificada"
"B01";"Varicela"
"B010";"Meningitis debida a varicela"
"B011";"Encefalitis debida a varicela"
"B012";"Neumonia debida a varicela"
"B018";"Varicela con otras complicaciones"
"B019";"Varicela sin complicaciones"
"B02";"Herpes Zoster"
"B020";"Encefalitis debida a herpes zoster"
"B021";"Meningitis debida a herpes zoster"
"B022";"Herpes zoster con otros compromisos del sistema nervioso"
"B023";"Herpes zoster ocular"
"B027";"Herpes zoster diseminado"
"B028";"Herpes zoster con otras complicaciones"
"B029";"Herpes zoster sin complicaciones"
"B03";"Viruela"
"B03X";"Viruela"
"B04";"Viruela De Los Monos"
"B04X";"Viruela de los monos"
"B05";"Sarampion"
"B050";"Sarampion complicado con encefalitis"
"B051";"Sarampion complicado con meningitis"
"B052";"Sarampion complicado con neumonia"
"B053";"Sarampion complicado con otitis media"
"B054";"Sarampion con complicaciones intestinales"
"B058";"Sarampion con otras complicaciones"
"B059";"Sarampion sin complicaciones"
"B06";"Rubeola [ Sarampion Aleman ]"
"B060";"Rubeola con complicaciones neurologicas"
"B068";"Rubeola con otras complicaciones"
"B069";"Rubeola sin complicaciones"
"B07";"Verrugas Viricas"
"B07X";"Verrugas viricas"
"B08";"Otras Infecciones Viricas Caracterizadas Por Lesiones De La Piel Y De Las Membranas Mucosas, No Clasificadas En Otra Parte"
"B080";"Otras infecciones debidas a ortopoxvirus"
"B081";"Molusco contagioso"
"B082";"Exantema subito [sexta enfermedad]"
"B083";"Eritema infeccioso [quinta enfermedad]"
"B084";"Estomatitis vesicular enteroviral con exantema"
"B085";"Faringitis vesicular enterovirica"
"B088";"Otras infecciones virales especificadas, caracterizadas por lesiones de la piel y de las membranas mucosas"
"B09";"Infeccion Viral No Especificada, Caracterizada Por Lesiones De La Piel Y De Las Membranas Mucosas"
"B09X";"Infeccion viral no especificada, caracterizada por lesiones de la piel y de las membranas mucosas"
"B15";"Hepatitis Aguda Tipo A"
"B150";"Hepatitis aguda tipo A, con coma hepatico"
"B159";"Hepatitis aguda tipo A, sin coma hepatico"
"B16";"Hepatitis Aguda Tipo B"
"B160";"Hepatitis aguda tipo B, con agente delta (coinfeccion), con coma hepatico"
"B161";"Hepatitis aguda tipo B, con agente delta (coinfeccion), sin coma hepatico"
"B162";"Hepatitis aguda tipo B, sin agente delta, con coma hepatico"
"B169";"Hepatitis aguda tipo B, sin agente delta y sin coma hepatico"
"B17";"Otras Hepatitis Virales Agudas"
"B170";"Infeccion (superinfeccion) aguda por agente delta en la hepatitis B cronica"
"B171";"Hepatitis aguda tipo C"
"B172";"Hepatitis aguda tipo E"
"B178";"Otras hepatitis virales agudas especificadas"
"B179";"Hepatitis viral aguda no especificada"
"B18";"Hepatitis Viral Cronica"
"B180";"Hepatitis viral tipo B cronica, con agente delta"
"B181";"Hepatitis viral tipo B cronica, sin agente delta"
"B182";"Hepatitis viral tipo C cronica"
"B188";"Otras hepatitis virales cronicas"
"B189";"Hepatitis viral cronica, sin otra especificacion"
"B19";"Hepatitis Viral Sin Otra Especificacion"
"B190";"Hepatitis viral no especificada con coma hepatico"
"B199";"Hepatitis viral no especificada sin coma hepatico"
"B20";"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias"
"B200";"Enfermedad por VIH, resultante en infeccion por micobacterias"
"B201";"Enfermedad por VIH, resultante en otras infecciones bacterianas"
"B202";"Enfermedad por VIH, resultante en enfermedad por citomegalovirus"
"B203";"Enfermedad por VIH, resultante en otras infecciones virales"
"B204";"Enfermedad por VIH, resultante en candidiasis"
"B205";"Enfermedad por VIH, resultante en otras micosis"
"B206";"Enfermedad por VIH, resultante en neumonia por Pneumocystis carinii"
"B207";"Enfermedad por VIH, resultante en infecciones multiples"
"B208";"Enfermedad por VIH, resultante en otras enfermedades infecciosas o parasitarias"
"B209";"Enfermedad por VIH, resultante en enfermedad infecciosa o parasitaria no especificada"
"B21";"Enfermedad Por Virus De La Inmunodeficiencia Humana [ Vih ], Resultante En Tumores Malignos"
"B210";"Enfermedad por VIH, resultante en sarcoma de Kaposi"
"B211";"Enfermedad por VIH, resultante en linfoma de Burkitt"
"B212";"Enfermedad por VIH, resultante en otros tipos de linfoma no Hodgkin"
"B213";"Enfermedad por VIH, resultante en otros tumores malignos del tejido linfoide, hematopoyetico y tejidos relacionados"
"B217";"Enfermedad por VIH, resultante en tumores malignos multiples"
"B218";"Enfermedad por VIH, resultante en otros tumores malignos"
"B219";"Enfermedad por VIH, resultante en tumores malignos no especificados"
"B22";"Enfermedad Por Virus De La Inmunodeficiencia Humana [ Vih ], Resultante En Otras Enfermedades Especificadas"
"B220";"Enfermedad por VIH, resultante en encefalopatia"
"B221";"Enfermedad por VIH, resultante en neumonitis linfoide intersticial"
"B222";"Enfermedad por VIH, resultante en sindrome caquectico"
"B227";"Enfermedad por VIH, resultante en enfermedades multiples clasificadas en otra parte"
"B23";"Enfermedad Por Virus De La Inmunodeficiencia Humana [ Vih ], Resultante En Otras Afecciones"
"B230";"Sindrome de infeccion aguda debida a VIH"
"B231";"Enfermedad por VIH, resultante en linfadenopatia generalizada (persistente)"
