"code";"description"
"013211";"AMIGDALOHIPOCAMPECTOMÍA SELECTIVA (TRACTO CEREBRAL) POR CRANEOTOMÍA"
"013212";"AMIGDALOHIPOCAMPECTOMÍA SELECTIVA (TRACTO CEREBRAL) CON ABLACIÓN"
"013213";"AMIGDALOHIPOCAMPECTOMÍA SUPRASELECTIVA (TRACTO CEREBRAL) VÍA ENDOSCÓPICA"
"013214";"TRACTOTOMÍA LOBAR POR CRANEOTOMÍA"
"013215";"TRACTOTOMÍA LOBAR VÍA ENDOSCÓPICA"
"013216";"CINGULOTOMÍA ESTEREOTÁCTICA"
"013217";"CINGULOTOMÍA POR CRANEOTOMÍA"
"013218";"CINGULOTOMÍA CON ABLACIÓN"
"013219";"TRACTOTOMÍA MESENCEFÁLICA U OTRA LESIÓN DE TALLO CEREBRAL"
"014103";"TALAMOTOMÍA POR ESTEREOTAXIA"
"014201";"PALIDOTOMÍA POR ESTEREOTAXIA"
"014301";"SUBTALAMOTOMÍA POR ESTEREOTAXIA"
"014401";"LESIÓN EN OTRAS ESTRUCTURAS SUBCORTICALES"
"015101";"RESECCIÓN TUMOR ÓSEO, POR CRANEOTOMÍA"
"015102";"RESECCIÓN TUMOR ÓSEO, POR CRANIECTOMÍA"
"015103";"ESCISIÓN DE LESIÓN CRANEAL"
"015104";"CORRECCIÓN DE DISPLASIA FIBROSA DEL CRÁNEO POR CRANIECTOMÍA"
"015201";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA ANTERIOR VÍA CRANEOFACIAL ANTERIOR"
"015202";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO, FOSA ANTERIOR, VÍA CRANEOFACIAL ANTEROLATERAL"
"015203";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO, FOSA ANTERIOR, VÍA ANTEROLATERAL Y RINOTOMÍA LATERAL"
"015204";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO, FOSA ANTERIOR, VÍA TRANSZIGOMÁTICA Y TRANSPALATAL"
"015205";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO, FOSA ANTERIOR"
"015206";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA ANTERIOR VÍA ENDONASAL (EXTENDIDA)"
"015301";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA POR CRANEOTOMÍA FRONTAL Y OSTEOTOMÍA FRONTO ETMOIDAL"
"015302";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA POR ABORDAJE TRANSMAXILAR"
"015303";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA POR CRANEOTOMÍA GUIADA POR ESTEREOTAXIA"
"015304";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA SUBTEMPORAL Y OSTEOTOMÍA ZIGOMÁTICA"
"015305";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA SUBFRONTAL EXTENDIDA"
"015306";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA SUBTEMPORAL"
"015307";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA PREAURÍCULAR INFRATENTORIAL Y CERVICOTOMÍA"
"015308";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA SUBFRONTAL"
"015309";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA POR ORBITOTOMÍA LATERAL"
"015310";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA TRANSESFENOIDAL"
"015311";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA TRANSESFENOIDAL ENDOSCÓPICA"
"015313";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA ENDONASAL (EXTENDIDA)"
"015314";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA INFRATEMPORAL TRANSPTERIGOIDEA"
"015401";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR, VÍA EXTREMO LATERAL"
"015402";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR, VÍA FRONTO ORBITO ETMOIDAL"
"015403";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR, VÍA SUBTEMPORAL PREAURÍCULAR INFRATEMPORAL Y CERVICOTOMIA TRANSMANDIBULAR"
"015404";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR, VÍA TRANSORAL"
"015405";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR, VÍA MAXILOTOMÍA EXTENDIDA"
"015406";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR, VÍA TRANSLABERINTICA"
"015407";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR, VÍA TRANSCOCLEAR"
"015408";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR, VÍA FOSA MEDIA"
"015409";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR, VÍA SUBOCCIPITAL RETROMASTOIDEA"
"015410";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR"
"015411";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR VÍA ENDONASAL (EXTENDIDA)"
"015412";"RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR VÍA TRANSTUBERCULOYUGULAR O TRANSCONDILAR"
"015501";"TOMA DE INJERTO ÓSEO DE CRÁNEO"
"015502";"RESECCIÓN DE TEJIDO CRANEAL"
"016101";"RESECCIÓN TUMOR DE MENINGE CEREBRAL, POR CRANEOTOMÍA"
"016102";"RESECCIÓN TUMOR DE MENINGE CEREBRAL, POR CRANIECTOMÍA CON DUROPLASTIA Y CRANEOPLASTIA"
"016103";"RESECCIÓN DE TUMORES EN MENINGES CEREBRALES"
"016201";"RESECCIÓN TUMOR DE LA HOZ, POR CRANEOTOMÍA Y PLASTIA"
"016202";"RESECCIÓN TUMORES DE LA HOZ"
"016301";"RESECCIÓN TUMOR DEL TENTORIO, POR CRANEOTOMÍA"
"016302";"RESECCIÓN TUMORES DEL TENTORIO"
"016401";"DRENAJE DE QUISTE ARACNOIDEO GUIADO POR ESTEREOTAXIA"
"016402";"RESECCIÓN DE OTRA LESIÓN DE MENINGE CEREBRAL"
"017001";"DRENAJE DE COLECCIONES INTRACEREBRALES, POR CRANEOTOMÍA"
"017002";"DRENAJE DE COLECCIONES INTRACEREBRALES, GUIADO POR ESTEREOTAXIA"
"017003";"DRENAJE DE COLECCIONES INTRACEREBRALES, POR PUNCIÓN DIRIGIDA"
"017004";"DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR, POR CRANEOTOMÍA SUBOCCIPITAL"
"017005";"DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR, GUIADO POR ESTEREOTAXIA"
"017006";"DRENAJE DE COLECCIONES INTRACEREBRALES"
"017201";"RESECCIÓN DE TUMOR SUPRATENTORIAL HEMISFÉRICO, POR CRANEOTOMÍA"
"017202";"RESECCIÓN DE TUMOR SUPRATENTORIAL HEMISFÉRICO, POR CRANEOTOMÍA OSTEOPLÁSTICA"
"017203";"RESECCIÓN DE TUMOR SUPRATENTORIAL HEMISFÉRICO, POR CRANEOTOMÍA GUIADA POR ESTEREOTAXIA"
"017204";"RESECCIÓN DE TUMOR SUPRATENTORIAL HEMISFÉRICO,CON ESTIMULACIÓN CORTICAL"
"017205";"RESECCIÓN VOLUMÉTRICA DE TUMOR SUPRATENTORIAL HEMISFÉRICO,CON ESTEREOTAXIA"
"017206";"RESECCIÓN DE TUMORES SUPRATENTORIALES HEMISFÉRICOS"
"017209";"DRENAJE DE QUISTE TUMORAL SUPRATENTORIAL"
"017301";"RESECCIÓN TUMOR INTRACEREBELOSO, POR CRANEOTOMÍA SUBOCCIPITAL"
"017302";"RESECCIÓN TUMORES INFRATENTORIALES HEMISFÉRICOS"
"017303";"DRENAJE DE QUISTE TUMORAL INFRATENTORIAL"
"017401";"RESECCIÓN DE LESIÓN O TUMOR DE LÍNEA MEDIA SUPRATENTORIAL POR CRANEOTOMÍA"
"017403";"RESECCIÓN DE LESIÓN O TUMOR DE LÍNEA MEDIA SUPRATENTORIALES VÍA ENDOSCÓPICA"
"017404";"RESECCIÓN DE LESIÓN O  TUMOR DE LA REGIÓN PINEAL VÍA SUPRATENTORIAL"
"017405";"RESECCIÓN DE LESIÓN O TUMOR DE LA REGIÓN PINEAL VÍA INFRATENTORIAL"
"017406";"RESECCIÓN DE LESIÓN O TUMOR DE LA REGIÓN PINEAL VÍA ENDOSCÓPICA"
"017501";"RESECCIÓN DE TUMOR DE LÍNEA MEDIA INFRATENTORIAL, EXTRA AXIAL, POR CRANEOTOMÍA SUBOCCIPITAL"
"017502";"RESECCIÓN DE TUMOR DE LÍNEA MEDIA INFRATENTORIAL, EXTRA AXIAL, POR CRANEOTOMÍA GUIADA POR ESTEREOTAXIA"
"017504";"RESECCIÓN DE LESIONES EXOFÍTICAS SÓLIDAS EN TRONCO CEREBRAL (EXTRA AXIALES), POR CRANEOTOMÍA SUBOCCIPITAL"
"017505";"RESECCIÓN DE LESIONES EXOFÍTICAS SÓLIDAS EN TRONCO CEREBRAL (EXTRA AXIALES), POR CRANEOTOMÍA DE FOSA MEDIA"
"017508";"RESECCIÓN DE LESIONES SÓLIDAS O QUÍSTICAS INTRAAXIALES (TRONCO CEREBRAL), POR CRANEOTOMÍA SUBOCCIPITAL"
"017509";"RESECCIÓN DE LESIONES SÓLIDAS O QUÍSTICAS INTRAAXIALES (TRONCO CEREBRAL), POR CRANEOTOMÍA SUBTEMPORAL"
"017601";"RESECCIÓN DE LESIONES VENTRICULARES SUPRATENTORIALES, POR CRANEOTOMÍA"
"017603";"RESECCIÓN DE LESIONES VENTRICULARES SUPRATENTORIALES, POR ENDOSCOPIA"
"017701";"RESECCIÓN DE LESIONES VENTRICULARES INFRATENTORIALES, POR CRANEOTOMÍA SUBOCCIPITAL"
"017702";"RESECCIÓN DE LESIONES VENTRICULARES INFRATENTORIALES, POR ENDOSCOPIA"
"017801";"RESECCIÓN DE LESIONES INTRAVENTRICULARES DE LÍNEA MEDIA POR CRANEOTOMÍA"
"017802";"RESECCIÓN DE LESIONES INTRAVENTRICULARES DE LÍNEA MEDIA"
"017803";"RESECCIÓN DE LESIONES INTRAVENTRICULARES DE LÍNEA MEDIA VÍA ENDOSCÓPICA"
"017806";"DRENAJE DE QUISTE TUMORAL DE LÍNEA MEDIA INTRAVENTRICULAR POR CRANEOTOMÍA"
"017807";"DRENAJE DE QUISTE TUMORAL DE LÍNEA MEDIA INTRAVENTRICULAR VÍA ENDOSCÓPICA"
"018103";"HEMISFERECTOMÍA CEREBRAL ANATÓMICA POR CRANEOTOMÍA"
"018104";"HEMISFERECTOMÍA CEREBRAL FUNCIONAL POR CRANEOTOMÍA"
"018105";"HEMISFERECTOMÍA CEREBRAL FUNCIONAL VÍA ENDOSCÓPICA"
"018106";"HEMISFEROTOMÍA CEREBRAL POR CRANEOTOMÍA"
"018107";"HEMISFEROTOMÍA CEREBRAL VÍA ENDOSCÓPICA"
"018201";"HEMISFERECTOMÍA CEREBELOSA POR CRANEOTOMÍA SUBOCCIPITAL"
"018202";"HEMISFERECTOMÍA CEREBELOSA"
"019101";"LOBECTOMÍA POR CRANEOTOMÍA"
"019201";"LOBECTOMÍA POR CRANIECTOMÍA"
"020105";"CORRECCIÓN DE CRÁNEO ESTENOSIS CON ALTERACIÓN CRÁNEO FACIAL COMPLEJA, POR CRANEOTOMÍA"
"020106";"CORRECCIÓN DE CRÁNEO ESTENOSIS CON ALTERACIÓN CRÁNEO FACIAL COMPLEJA, CON AVANCE FRONTO-ORBITARIO"
"020107";"CORRECCIÓN DE CRÁNEO ESTENOSIS CON ALTERACIÓN CRÁNEO FACIAL COMPLEJA, CON AVANCE FRONTO NASAL (LEFORT III)"
"020108";"CORRECCIÓN DE CRÁNEO ESTENOSIS CON ALTERACIÓN CRÁNEO FACIAL COMPLEJA, CON AVANCE FRONTO MAXILAR (LEFORT II)"
"020109";"APERTURA DE SUTURA CRANEAL"
"020110";"CORRECCIÓN DE CRÁNEO ESTENOSIS MÚLTIPLE CON BRAQUICEFALIA CON AVANCE FRONTO ORBITARIO POR CRANIECTOMÍA"
"020111";"CORRECCIÓN DE CRÁNEO ESTENOSIS MÚLTIPLE CON BRAQUICEFALIA CON AVANCE FRONTO ORBITARIO VÍA ENDOSCÓPICA"
"020112";"CORRECCIÓN DE ASIMETRÍA CRANEANA"
"020201";"ESQUIRLECTOMÍA CRANEAL A TRAVÉS DE TREPANACIÓN"
"020202";"DESBRIDAMIENTO DE FRACTURA COMPUESTA (CONMINUTA) DE CRÁNEO"
"020203";"REDUCCIÓN DE FRACTURA CRANEAL (HUNDIMIENTO SIN COMPROMISO DE DURA) CON ESQUIRLECTOMÍA Y CRANEOPLASTIA"
"020204";"REDUCCIÓN DE FRACTURA COMPUESTA (CONMINUTA) DE CRÁNEO, CON PLASTIA DURAL Y LIMPIEZA HEMOSTASIA CEREBRAL (DESBRIDAMIENTO) EN UN SOLO TIEMPO"
"020205";"ELEVACIÓN DE FRAGMENTOS DE FRACTURA DE CRÁNEO"
"020206";"REDUCCIÓN DE FRACTURA CRANEAL VÍA ENDOSCÓPICA"
"020401";"CORRECCIÓN DE DEFECTO ÓSEO PRE-EXISTENTE POR CRANEOPLASTIA, CON INJERTO AUTÓLOGO O HETERÓLOGO"
"020402";"INJERTO ÓSEO EN CRÁNEO"
"020501";"INSERCIÓN O SUSTITUCIÓN DE DISPOSITIVO DE FIJACIÓN U OSTEOSÍNTESIS EN CRÁNEO"
"020502";"RECONSTRUCCIÓN PROTÉSICA DE BÓVEDA CRANEAL CON DISPOSITIVOS DE FIJACIÓN U OSTEOSÍNTESIS"
"020503";"RECONSTRUCCIÓN PROTÉSICA DE UNIÓN CRÁNEOFACIAL CON DISPOSITIVOS DE FIJACIÓN U OSTEOSÍNTESIS"
"020601";"CORRECCIÓN DISPLASIA FIBROSA POR CRANEOPLASTIA"
"020602";"OSTEOPLASTIA CRANEAL"
"020701";"EXTRACCIÓN O SUSTITUCIÓN DE DISPOSITIVO DE FIJACIÓN U OSTEOSÍNTESIS EN CRÁNEO"
"021101";"CORRECCIÓN DE DESGARRO DURAL POST TRAUMÁTICO EN BÓVEDA CRANEANA, POR CRANEOTOMÍA"
"021102";"CORRECCIÓN DE DESGARRO DURAL POST TRAUMÁTICO EN BÓVEDA CRANEANA, CON PLASTIA DURAL"
"021103";"CORRECCIÓN DE DESGARRO DURAL EN BASE DE CRÁNEO, POR CRANEOTOMÍA"
"021104";"CORRECCIÓN DE DESGARRO DURAL EN BASE DE CRÁNEO, CON PLASTIA AUTÓLOGA O HETERÓLOGA, POR CRANEOTOMÍA"
"021105";"SUTURA SIMPLE DE DURAMADRE CEREBRAL"
"021106";"PLASTIA DURAL CON INJERTO"
"021201";"CORRECCIÓN FÍSTULA LCR EN BÓVEDA CRANEANA, POR CRANEOTOMÍA Y CRANEOPLASTIA"
"021202";"CORRECCIÓN FÍSTULA LCR EN BÓVEDA CRANEANA, POR DUROPLASTIA"
"021203";"CORRECCIÓN FÍSTULA LCR EN BASE DE CRÁNEO ANTERIOR, VÍA SUBFRONTAL"
"021204";"CORRECCIÓN FÍSTULA LCR EN BASE DE CRÁNEO ANTERIOR, VÍA TRANSESFENOIDAL"
"021205";"CORRECCIÓN FÍSTULA LCR EN BASE DE CRÁNEO ANTERIOR, VÍA ENDOSCÓPICA TRANSNASAL"
"021206";"CORRECCIÓN FÍSTULA LCR EN BASE DE CRÁNEO MEDIO, POR CRANIECTOMÍA"
"021207";"CORRECCIÓN FÍSTULA LCR EN BASE DE CRÁNEO MEDIO, VÍA TRANSESFENOIDAL"
"021208";"CORRECCIÓN FÍSTULA LCR EN BASE DE CRÁNEO POSTERIOR, VÍA SUBOCCIPITAL"
"021209";"CORRECCIÓN DE MENINGOCELE, POR CRANIECTOMÍA"
"021210";"CORRECCIÓN DE MENINGOCELE, CON CRANEOPLASTIA"
"021211";"CORRECCIÓN DE MENINGOCELE DE FOSA ANTERIOR, POR CRANIECTOMÍA Y PLASTIA DE MENINGE"
"021212";"CORRECCIÓN DE MENINGOCELE DE FOSA ANTERIOR, CON AVANCE FRONTO ORBITARIO Y PLASTIA DE MENINGE"
"021213";"CORRECCIÓN DE MENINGOCELE DE FOSA ANTERIOR, VÍA TRANSNASAL ENDOSCÓPICA"
"021214";"CORRECCIÓN DE MENINGOENCEFALOCELE POR CRANIECTOMÍA CON PLASTIA DE MENINGE Y CRANEOPLASTIA"
"021215";"REPARACIÓN DE MENINGE CEREBRAL"
"021216";"CORRECCIÓN FÍSTULA LCR EN BASE DE CRÁNEO MEDIO VÍA TRANSESFENOIDAL ENDOSCÓPICA"
"021301";"RECONSTRUCCIÓN DE LA BASE DEL CRÁNEO FOSA ANTERIOR VÍA CRANEAL"
"021302";"RECONSTRUCCIÓN DE LA BASE DEL CRÁNEO FOSA ANTERIOR VÍA ENDONASAL ENDOSCÓPICA"
"021303";"RECONSTRUCCIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA CRANEAL"
"021304";"RECONSTRUCCIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA ENDONASAL ENDOSCÓPICA"
"021305";"RECONSTRUCCIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR VÍA CRANEAL"
"021306";"RECONSTRUCCIÓN DE LA BASE DEL CRÁNEO FOSA VÍA ENDONASAL ENDOSCÓPICA"
"021307";"RECONSTRUCCIÓN DE LA BÓVEDA DEL CRÁNEO UNILATERAL"
"021308";"RECONSTRUCCIÓN DE LA BÓVEDA DEL CRÁNEO BILATERAL"
"022101";"DERIVACIÓN DE VENTRÍCULO A CISTERNA MAGNA"
"022102";"CRANEOSTOMÍA CON FENESTRACIÓN ENDOSCÓPICA"
"022103";"CRANEOSTOMÍA CON FENESTRACIÓN ESTEREOTÁCTICA"
"022105";"TERCER VENTRICULOSTOMÍA VÍA ENDOSCÓPICA"
"022106";"DERIVACIÓN VENTRICULOSUBGALEAL"
"022201";"COLOCACIÓN DE CATÉTER VENTRICULAR AL EXTERIOR"
"022202";"DERIVACIÓN VENTRICULAR A ESPACIO SUBARACNOIDEO CERVICAL"
"022203";"VENTRICULOSTOMÍA EXTERNA"
"022401";"COLOCACIÓN DE CATÉTER VENTRÍCULO PERITONEAL SIN VÁLVULA POR CRANEOTOMÍA"
"022402";"COLOCACIÓN DE CATÉTER VENTRÍCULO PERITONEAL CON VÁLVULA POR CRANEOTOMÍA"
"022403";"COLOCACIÓN DE CATÉTER VENTRÍCULO PERITONEAL SIN VÁLVULA VÍA ENDOSCÓPICA"
"022404";"COLOCACIÓN DE CATÉTER VENTRÍCULO PERITONEAL CON VÁLVULA VÍA ENDOSCÓPICA"
"023201";"DERIVACIÓN VENTRÍCULOATRIAL"
"023402";"DERIVACIÓN CISTO PERITONEAL (QUISTE VENTRICULAR A PERITONEO)"
"023403";"DERIVACIÓN VENTRICULAR A CAVIDAD Y ÓRGANOS ABDOMINALES"
"023404";"DERIVACIÓN VENTRICULAR A CAVIDAD U OTROS ÓRGANOS"
"024100";"IRRIGACIÓN DE DERIVACIÓN VENTRICULAR SOD"
"024201";"REEMPLAZO PARCIAL DE DERIVACIÓN"
"024202";"REEMPLAZO TOTAL DE DERIVACIÓN"
"024203";"SUSTITUCIÓN DE DERIVACIÓN VENTRICULAR"
"024300";"RETIRO DE DERIVACIÓN SOD"
"025000";"IMPLANTE DE CATÉTER (INTRAVENTRICULAR, INTRACÍSTICO) CON RESERVORIO SUBCUTÁNEO SOD"
"028100";"LISIS DE ADHERENCIAS CORTICALES SOD"
"028201";"IMPLANTACIÓN DE CATÉTER INTRACEREBRAL"
"028202";"IMPLANTACIÓN DE DISPOSITIVO EXTRADURAL"
"028203";"IMPLANTACIÓN DE DISPOSITIVO INTRACEREBRAL (ELECTRODOS O TRASDUCTORES)"
"028302";"COLOCACIÓN DE ELECTRODO EPIDURAL TRANSITORIO"
"028303";"IMPLANTACIÓN DE ELECTRODO INTRACRANEAL PROFUNDO"
"028304";"IMPLANTACIÓN DE RECEPTOR ELECTROENCEFALOGRÁFICO POR TREPANACIÓN"
"028305";"INSERCIÓN DE REJILLA SUBDURAL"
"028307";"IMPLANTACIÓN DE ELECTRODO PARA ESTIMULACIÓN CEREBRAL POR CRANEOTOMÍA"
"028308";"IMPLANTACIÓN DE ELECTRODO PARA ESTIMULACIÓN CEREBRAL PROFUNDA POR ESTEREOTAXIA"
"028309";"IMPLANTACIÓN DE ELECTRODO SUBDURAL POR CRANEOTOMÍA"
"028310";"IMPLANTACIÓN DE ELECTRODO SUBDURAL POR ESTEREOTAXIA"
"028311";"IMPLANTACIÓN DE ELECTRODO EPIDURAL (PERMANENTE)"
"028312";"IMPLANTACIÓN DE ELECTRODO INTRACRANEAL PARENQUIMATOSO"
"028313";"IMPLANTACIÓN DE ELECTRODO INTRACRANEAL PROFUNDO PARA ESTEREOELECTROENCEFALOGRAFÍA"
"028314";"IMPLANTACIÓN DE GENERADOR PARA NEUROESTIMULACIÓN INTRACRANEAL"
